index,heterogeneity_index,variogram_angle,max_lateral_connectivity,mob_ratio,mean_permeability,kvhk
1,1,2,1,low,1,1
2,3,2,1,low,1,1
3,1,3,1,low,1,1
4,3,3,1,low,1,1
5,1,2,3,low,1,1
6,3,2,3,low,1,1
7,1,3,3,low,1,1
8,3,3,3,low,1,1
9,1,2,1,high,1,1
10,3,2,1,high,1,1
11,1,3,1,high,1,1
12,3,3,1,high,1,1
13,1,2,3,high,1,1
14,3,2,3,high,1,1
15,1,3,3,high,1,1
16,3,3,3,high,1,1
17,1,2,1,low,3,1
18,3,2,1,low,3,1
19,1,3,1,low,3,1
20,3,3,1,low,3,1
21,1,2,3,low,3,1
22,3,2,3,low,3,1
23,1,3,3,low,3,1
24,3,3,3,low,3,1
25,1,2,1,high,3,1
26,3,2,1,high,3,1
27,1,3,1,high,3,1
28,3,3,1,high,3,1
29,1,2,3,high,3,1
30,3,2,3,high,3,1
31,1,3,3,high,3,1
32,3,3,3,high,3,1
33,1,2,1,low,1,3
34,3,2,1,low,1,3
35,1,3,1,low,1,3
36,3,3,1,low,1,3
37,1,2,3,low,1,3
38,3,2,3,low,1,3
39,1,3,3,low,1,3
40,3,3,3,low,1,3
41,1,2,1,high,1,3
42,3,2,1,high,1,3
43,1,3,1,high,1,3
44,3,3,1,high,1,3
45,1,2,3,high,1,3
46,3,2,3,high,1,3
47,1,3,3,high,1,3
48,3,3,3,high,1,3
49,1,2,1,low,3,3
50,3,2,1,low,3,3
51,1,3,1,low,3,3
52,3,3,1,low,3,3
53,1,2,3,low,3,3
54,3,2,3,low,3,3
55,1,3,3,low,3,3
56,3,3,3,low,3,3
57,1,2,1,high,3,3
58,3,2,1,high,3,3
59,1,3,1,high,3,3
60,3,3,1,high,3,3
61,1,2,3,high,3,3
62,3,2,3,high,3,3
63,1,3,3,high,3,3
64,3,3,3,high,3,3
65,zero,0,0,low,1,1
66,zero,0,0,high,1,1
67,zero,0,0,low,3,1
68,zero,0,0,high,3,1
69,zero,0,0,low,1,3
70,zero,0,0,high,1,3
71,zero,0,0,low,3,3
72,zero,0,0,high,3,3
73,2,2,2,mid,2,2
